S.No,Roll No,Category,PWBD,Gender,Percentage,Rank
2029,4713490,OBC,Male,62.083,911,
2045,4713554,OBC,Male,60.625,1439,
2080,4713810,OBC,Male,60.833,1326,
2118,4714075,OBC,Male,64.375,458,
2188,4714559,OBC,Male,61.458,1119,
2307,4715283,OBC,Male,63.125,701,
2310,4715318,EWS,Male,60.417,1479,
2330,4715425,OBC,Male,69.792,52,
2340,4715481,OBC,Male,60.625,1407,
2363,4715648,OBC,Male,66.458,244,
2390,4715840,OBC,Male,61.667,1073,
2516,4716663,EWS,Male,61.042,1250,
2581,4717089,OBC,Male,61.042,1273,
2641,4717467,OBC,Male,62.292,883,
2658,4717601,SC,Male,60.625,1397,
2694,4717780,OBC,Male,65.208,359,
2714,4717882,OBC,Male,60.833,1360,
2716,4717892,OBC,Male,64.167,497,
2750,4718104,SC,Male,61.042,1231,
2753,4718128,OBC,Male,62.708,781,
2815,4718616,EWS,Male,62.500,828,
2883,4718976,OBC,Male,60.833,1362,
2915,4719155,OBC,Male,61.042,1265,
2964,4719456,SC,Male,68.750,90,
2995,4719666,OBC,Male,71.250,20,
3011,4719756,OBC,Male,61.458,1132,
3023,4719851,SC,Male,62.500,819,
3032,4719922,OBC,Male,66.042,287,
3048,4720022,OBC,Male,68.125,122,
3087,4720229,OBC,Male,62.083,932,
3132,4720530,OBC,Male,66.250,260,
3142,4720612,SC,Male,62.292,881,
3155,4720674,EWS,Male,60.417,1500,
3161,4720694,OBC,Male,64.167,507,
3175,4720756,EWS,Male,61.875,991,
3176,4720767,SC,Male,60.833,1296,
3208,4720945,OBC,Male,61.042,1261,
3282,4721467,OBC,Male,61.458,1123,
3284,4721477,OBC,Male,61.875,1022,
3291,4721497,OBC,Male,66.458,247,
3376,4722038,EWS,Male,62.083,921,
3394,4722138,SC,Male,64.375,477,
3428,4722396,OBC,Male,61.458,1109,
3435,4722439,OBC,Male,62.083,938,
3436,4722445,OBC,Male,67.708,143,
3479,4722695,OBC,Male,63.958,527,
